m|k - RSS (KB),100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
20000, 12704, 12684, 12672, 12696, 12784, 12708, 12752, 12668, 12688, 12764, 12668, 12752, 12768, 12752, 12704, 12700, 12768, 12784, 12764, 12700, 12708, 12776, 12780, 12688, 12660, 12704, 12676, 12756, 12708, 12676, 12760, 12692, 12784, 12684, 12760, 12756, 12712, 12676, 12688, 12688, 12752, 12784, 12684, 12696, 12704, 12768, 12704, 12680, 12700, 12748
22000, 13656, 13732, 13656, 13648, 13640, 13720, 13660, 13732, 13628, 13656, 13624, 13636, 13640, 13600, 13640, 13736, 13628, 13644, 13620, 13600, 13640, 13612, 13728, 13636, 13652, 13696, 13632, 13644, 13628, 13624, 13636, 13620, 13648, 13732, 13632, 13716, 13720, 13656, 13732, 13732, 13724, 13624, 13656, 13732, 13720, 13656, 13704, 13628, 13636, 13628
24000, 14544, 14664, 14668, 14604, 14648, 14668, 14644, 14568, 14540, 14676, 14668, 14572, 14648, 14592, 14664, 14672, 14596, 14664, 14664, 14568, 14596, 14576, 14668, 14628, 14564, 14660, 14676, 14592, 14544, 14576, 14600, 14664, 14668, 14664, 14600, 14572, 14648, 14592, 14668, 14568, 14668, 14576, 14584, 14664, 14548, 14664, 14672, 14648, 14600, 14584
26000, 15516, 15544, 15528, 15500, 15532, 15548, 15624, 15612, 15524, 15512, 15540, 15568, 15512, 15548, 15516, 15624, 15620, 15532, 15604, 15612, 15540, 15520, 15628, 15524, 15492, 15616, 15632, 15592, 15536, 15532, 15624, 15596, 15624, 15596, 15492, 15512, 15612, 15612, 15544, 15524, 15576, 15604, 15548, 15492, 15604, 15524, 15544, 15596, 15616, 15616
28000, 16760, 16820, 16704, 16816, 16808, 16760, 16748, 16728, 16720, 16752, 16728, 16724, 16820, 16812, 16824, 16736, 16732, 16836, 16740, 16724, 16812, 16820, 16812, 16752, 16804, 16716, 16836, 16732, 16740, 16736, 16816, 16732, 16892, 16752, 16808, 16728, 16736, 16700, 16760, 16748, 16832, 16744, 16736, 16720, 16696, 16752, 16744, 16756, 16704, 16804
30000, 17692, 17672, 17700, 17784, 17676, 17784, 17656, 17756, 17756, 17768, 17648, 17664, 17764, 17752, 17760, 17676, 17768, 17692, 17676, 17660, 17704, 17676, 17600, 17648, 17752, 17672, 17680, 17732, 17668, 17684, 17668, 17768, 17680, 17684, 17776, 17764, 17684, 17696, 17676, 17648, 17700, 17784, 17648, 17696, 17704, 17700, 17684, 17708, 17768, 17780
32000, 18628, 18720, 18644, 18648, 18700, 18612, 18716, 18708, 18636, 18648, 18708, 18640, 18644, 18624, 18696, 18700, 18624, 18632, 18716, 18624, 18716, 18644, 18616, 18620, 18724, 18652, 18620, 18620, 18620, 18648, 18616, 18648, 18708, 18652, 18712, 18596, 18712, 18704, 18724, 18644, 18640, 18700, 18716, 18648, 18644, 18596, 18608, 18728, 18600, 18632
34000, 19388, 19488, 19380, 19472, 19412, 19464, 19388, 19480, 19408, 19492, 19484, 19376, 19484, 19348, 19408, 19480, 19488, 19424, 19464, 19408, 19348, 19484, 19400, 19480, 19460, 19480, 19392, 19412, 19384, 19368, 19384, 19412, 19476, 19488, 19488, 19384, 19480, 19484, 19468, 19480, 19480, 19484, 19480, 19384, 19408, 19476, 19396, 19384, 19404, 19388
36000, 20476, 20460, 20476, 20484, 20468, 20472, 20476, 20476, 20560, 20488, 20484, 20572, 20548, 20568, 20492, 20544, 20568, 20432, 20432, 20548, 20468, 20544, 20564, 20564, 20492, 20544, 20488, 20468, 20464, 20472, 20568, 20548, 20488, 20548, 20488, 20572, 20496, 20560, 20560, 20568, 20492, 20468, 20544, 20464, 20432, 20468, 20544, 20476, 20488, 20492
38000, 21424, 21404, 21404, 21292, 21400, 21420, 21420, 21416, 21424, 21400, 21352, 21296, 21292, 21332, 21352, 21352, 21352, 21320, 21404, 21352, 21336, 21324, 21328, 21348, 21420, 21420, 21404, 21352, 21420, 21352, 21348, 21428, 21416, 21288, 21424, 21324, 21344, 21348, 21384, 21424, 21348, 21420, 21336, 21404, 21420, 21344, 21288, 21352, 21420, 21332
40000, 22760, 22680, 22780, 22776, 22680, 22708, 22780, 22680, 22680, 22776, 22776, 22676, 22680, 22700, 22700, 22784, 22692, 22704, 22704, 22760, 22772, 22760, 22704, 22704, 22776, 22780, 22708, 22680, 22704, 22680, 22680, 22704, 22708, 22784, 22696, 22776, 22696, 22644, 22684, 22680, 22680, 22700, 22784, 22688, 22704, 22672, 22756, 22760, 22776, 22684
42000, 23640, 23536, 23616, 23500, 23540, 23592, 23560, 23640, 23628, 23620, 23528, 23504, 23508, 23532, 23532, 23612, 23564, 23536, 23560, 23540, 23628, 23632, 23636, 23564, 23552, 23564, 23564, 23640, 23632, 23564, 23540, 23616, 23540, 23536, 23580, 23612, 23616, 23536, 23548, 23632, 23636, 23612, 23564, 23644, 23548, 23616, 23540, 23536, 23644, 23560
44000, 24636, 24708, 24620, 24632, 24624, 24608, 24712, 24616, 24692, 24636, 24712, 24600, 24708, 24636, 24616, 24712, 24620, 24716, 24632, 24648, 24712, 24640, 24604, 24688, 24624, 24704, 24704, 24640, 24704, 24660, 24692, 24716, 24692, 24692, 24716, 24700, 24716, 24580, 24632, 24604, 24632, 24716, 24604, 24616, 24604, 24688, 24612, 24716, 24652, 24712
46000, 25476, 25732, 25552, 25476, 25484, 25552, 25548, 25532, 25484, 25480, 25560, 25468, 25536, 25472, 25492, 25484, 25620, 25468, 25464, 25464, 25476, 25464, 25468, 25620, 25468, 25460, 25752, 25424, 25468, 25464, 25556, 25552, 25484, 25556, 25424, 25536, 25436, 25464, 25456, 25536, 25460, 25460, 25468, 25472, 25424, 25464, 25484, 25472, 25556, 25536
48000, 26556, 26500, 26488, 26508, 26472, 26472, 26496, 26472, 26576, 26356, 26572, 26552, 26472, 26476, 26584, 26576, 26572, 26580, 26480, 26516, 26552, 26580, 26504, 26500, 26572, 26480, 26500, 26500, 26516, 26484, 26476, 26500, 26492, 26580, 26432, 26472, 26504, 26500, 26568, 26556, 26476, 26488, 26556, 26500, 26568, 26552, 26504, 26560, 26572, 26480
50000, 27600, 27360, 27440, 27332, 27428, 27436, 27376, 27416, 27440, 27360, 27304, 27352, 27412, 27552, 27616, 27432, 27416, 27604, 27412, 27304, 27428, 27360, 27348, 27416, 27428, 27416, 27356, 27416, 27304, 27352, 27432, 27416, 27304, 27428, 27340, 27432, 27360, 27544, 27432, 27332, 27336, 27364, 27304, 27436, 27356, 27412, 27332, 27428, 27340, 27364
